input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_232.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_233.c	oracle	124	15.04	15.04	639336	CERB_SKIP
sa_csmith_233.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_234.c	oracle	0	0.08	0.08	63108	MATCH
sa_csmith_234.c	lean	0	0.19	0.19	114636	MATCH
sa_csmith_235.c	oracle	124	15.05	15.04	691488	CERB_SKIP
sa_csmith_235.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_236.c	oracle	124	15.04	15.03	656568	CERB_SKIP
sa_csmith_236.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_237.c	oracle	124	15.04	15.04	629428	CERB_SKIP
sa_csmith_237.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_238.c	oracle	124	15.05	15.04	679748	CERB_SKIP
sa_csmith_238.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_239.c	oracle	0	0.14	0.13	67708	MATCH
sa_csmith_239.c	lean	0	0.31	0.31	118548	MATCH
sa_csmith_24.c	oracle	124	15.03	15.03	527152	CERB_SKIP
sa_csmith_24.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_240.c	oracle	0	0.04	0.04	49188	MATCH
sa_csmith_240.c	lean	0	0.07	0.06	87812	MATCH
sa_csmith_241.c	oracle	0	0.04	0.04	49156	MATCH
sa_csmith_241.c	lean	0	0.07	0.07	87816	MATCH
sa_csmith_242.c	oracle	0	0.09	0.08	66028	MATCH
sa_csmith_242.c	lean	0	0.19	0.18	120340	MATCH
sa_csmith_243.c	oracle	0	0.04	0.03	49060	MATCH
sa_csmith_243.c	lean	0	0.06	0.06	87772	MATCH
sa_csmith_244.c	oracle	124	15.04	15.04	653328	CERB_SKIP
sa_csmith_244.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_245.c	oracle	0	0.04	0.04	49040	MATCH
sa_csmith_245.c	lean	0	0.07	0.07	87384	MATCH
sa_csmith_246.c	oracle	124	15.04	15.03	626532	CERB_SKIP
sa_csmith_246.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_247.c	oracle	0	0.12	0.11	73320	MATCH
sa_csmith_247.c	lean	0	0.27	0.26	134136	MATCH
sa_csmith_248.c	oracle	124	15.04	15.03	607228	CERB_SKIP
sa_csmith_248.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_249.c	oracle	0	0.09	0.08	67904	MATCH
sa_csmith_249.c	lean	0	0.20	0.20	122544	MATCH
sa_csmith_25.c	oracle	0	0.46	0.45	81944	MATCH
sa_csmith_25.c	lean	0	1.19	1.18	125628	MATCH
sa_csmith_250.c	oracle	0	0.04	0.04	48308	MATCH
sa_csmith_250.c	lean	0	0.06	0.06	87624	MATCH
sa_csmith_251.c	oracle	124	15.04	15.03	639696	CERB_SKIP
sa_csmith_251.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_252.c	oracle	124	15.04	15.03	622048	CERB_SKIP
sa_csmith_252.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_253.c	oracle	124	15.05	15.04	672968	CERB_SKIP
sa_csmith_253.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_254.c	oracle	0	0.04	0.04	49252	MATCH
sa_csmith_254.c	lean	0	0.07	0.07	87308	MATCH
sa_csmith_255.c	oracle	124	15.04	15.04	673076	CERB_SKIP
sa_csmith_255.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_256.c	oracle	124	15.04	15.03	688376	CERB_SKIP
sa_csmith_256.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_257.c	oracle	124	15.03	15.03	547756	CERB_SKIP
sa_csmith_257.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_258.c	oracle	124	15.04	15.03	612040	CERB_SKIP
sa_csmith_258.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_259.c	oracle	124	15.04	15.04	596572	CERB_SKIP
sa_csmith_259.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_26.c	oracle	124	15.04	15.03	564844	CERB_SKIP
sa_csmith_26.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_260.c	oracle	124	15.04	15.03	656424	CERB_SKIP
sa_csmith_260.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_261.c	oracle	0	0.04	0.04	48756	MATCH
sa_csmith_261.c	lean	0	0.07	0.06	87472	MATCH
sa_csmith_262.c	oracle	0	0.11	0.11	67356	MATCH
sa_csmith_262.c	lean	0	0.23	0.22	121700	MATCH
sa_csmith_263.c	oracle	0	0.04	0.04	48616	MATCH
sa_csmith_263.c	lean	0	0.07	0.06	87584	MATCH
sa_csmith_264.c	oracle	124	15.04	15.04	627152	CERB_SKIP
sa_csmith_264.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_265.c	oracle	124	15.04	15.04	638472	CERB_SKIP
sa_csmith_265.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_266.c	oracle	0	0.04	0.04	49980	MATCH
sa_csmith_266.c	lean	0	0.08	0.07	87412	MATCH
sa_csmith_267.c	oracle	124	15.04	15.03	552832	CERB_SKIP
sa_csmith_267.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_268.c	oracle	0	0.06	0.06	57760	MATCH
sa_csmith_268.c	lean	0	0.14	0.14	101664	MATCH
sa_csmith_269.c	oracle	124	15.02	15.01	282052	CERB_SKIP
sa_csmith_269.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_27.c	oracle	124	15.04	15.04	671580	CERB_SKIP
sa_csmith_27.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_270.c	oracle	0	0.05	0.04	49940	MATCH
sa_csmith_270.c	lean	0	0.08	0.08	89536	MATCH
sa_csmith_271.c	oracle	0	0.09	0.08	63784	MATCH
sa_csmith_271.c	lean	0	0.19	0.18	116188	MATCH
sa_csmith_272.c	oracle	0	1.88	1.87	119448	MATCH
sa_csmith_272.c	lean	0	5.02	5.02	137492	MATCH
sa_csmith_273.c	oracle	0	0.04	0.03	49196	MATCH
sa_csmith_273.c	lean	0	0.07	0.07	87404	MATCH
sa_csmith_274.c	oracle	0	0.04	0.04	49316	MATCH
sa_csmith_274.c	lean	0	0.07	0.07	87740	MATCH
sa_csmith_275.c	oracle	124	15.04	15.03	680512	CERB_SKIP
sa_csmith_275.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_276.c	oracle	124	15.04	15.03	670684	CERB_SKIP
sa_csmith_276.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_277.c	oracle	0	0.04	0.04	49908	MATCH
