input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_224.c	oracle	124	15.04	15.03	482048	CERB_SKIP
sa_csmith_224.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_225.c	oracle	0	0.05	0.04	48332	MATCH
sa_csmith_225.c	lean	0	0.09	0.08	82292	MATCH
sa_csmith_226.c	oracle	124	15.03	15.02	343428	CERB_SKIP
sa_csmith_226.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_227.c	oracle	124	15.04	15.03	447160	CERB_SKIP
sa_csmith_227.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_228.c	oracle	0	0.05	0.05	49004	MATCH
sa_csmith_228.c	lean	0	0.09	0.09	83184	MATCH
sa_csmith_229.c	oracle	124	15.05	15.04	451264	CERB_SKIP
sa_csmith_229.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_23.c	oracle	0	0.06	0.06	48140	MATCH
sa_csmith_23.c	lean	0	0.09	0.09	83344	MATCH
sa_csmith_230.c	oracle	0	0.06	0.06	48868	MATCH
sa_csmith_230.c	lean	0	0.10	0.09	83304	MATCH
sa_csmith_231.c	oracle	124	15.02	15.00	260748	CERB_SKIP
sa_csmith_231.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_232.c	oracle	124	15.05	15.03	496564	CERB_SKIP
sa_csmith_232.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_233.c	oracle	124	15.06	15.04	512924	CERB_SKIP
sa_csmith_233.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_234.c	oracle	0	0.10	0.10	61160	MATCH
sa_csmith_234.c	lean	0	0.24	0.23	103896	MATCH
sa_csmith_235.c	oracle	124	15.05	15.04	529252	CERB_SKIP
sa_csmith_235.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_236.c	oracle	124	15.05	15.05	504092	CERB_SKIP
sa_csmith_236.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_237.c	oracle	124	15.05	15.03	471056	CERB_SKIP
sa_csmith_237.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_238.c	oracle	124	15.05	15.04	488780	CERB_SKIP
sa_csmith_238.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_239.c	oracle	0	0.19	0.18	65496	MATCH
sa_csmith_239.c	lean	0	0.45	0.45	105712	MATCH
sa_csmith_24.c	oracle	124	15.04	15.02	388832	CERB_SKIP
sa_csmith_24.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_240.c	oracle	0	0.05	0.04	48288	MATCH
sa_csmith_240.c	lean	0	0.08	0.07	83056	MATCH
sa_csmith_241.c	oracle	0	0.05	0.04	48428	MATCH
sa_csmith_241.c	lean	0	0.09	0.08	82644	MATCH
sa_csmith_242.c	oracle	0	0.12	0.12	64016	MATCH
sa_csmith_242.c	lean	0	0.26	0.25	108068	MATCH
sa_csmith_243.c	oracle	0	0.05	0.05	48524	MATCH
sa_csmith_243.c	lean	0	0.09	0.08	82904	MATCH
sa_csmith_244.c	oracle	124	15.05	15.03	509252	CERB_SKIP
sa_csmith_244.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_245.c	oracle	0	0.05	0.05	48652	MATCH
sa_csmith_245.c	lean	0	0.09	0.08	82800	MATCH
sa_csmith_246.c	oracle	124	15.04	15.04	474700	CERB_SKIP
sa_csmith_246.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_247.c	oracle	0	0.14	0.13	72052	MATCH
sa_csmith_247.c	lean	0	0.37	0.36	118072	MATCH
sa_csmith_248.c	oracle	124	15.04	15.02	455284	CERB_SKIP
sa_csmith_248.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_249.c	oracle	0	0.13	0.12	67120	MATCH
sa_csmith_249.c	lean	0	0.29	0.29	111668	MATCH
