input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_71.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_72.c	oracle	124	15.03	15.03	478420	CERB_SKIP
sa_csmith_72.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_73.c	oracle	124	15.04	15.03	508200	CERB_SKIP
sa_csmith_73.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_74.c	oracle	124	15.03	15.02	436172	CERB_SKIP
sa_csmith_74.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_75.c	oracle	0	1.52	1.51	122916	MATCH
sa_csmith_75.c	lean	0	3.98	3.98	141144	MATCH
sa_csmith_76.c	oracle	0	0.09	0.09	64488	MATCH
sa_csmith_76.c	lean	0	0.19	0.19	104892	MATCH
sa_csmith_77.c	oracle	124	15.05	15.04	637140	CERB_SKIP
sa_csmith_77.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_78.c	oracle	124	15.05	15.04	639576	CERB_SKIP
sa_csmith_78.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_79.c	oracle	0	0.04	0.03	49156	MATCH
sa_csmith_79.c	lean	0	0.07	0.06	82116	MATCH
sa_csmith_8.c	oracle	124	15.03	15.02	507016	CERB_SKIP
sa_csmith_8.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_80.c	oracle	124	15.04	15.03	586708	CERB_SKIP
sa_csmith_80.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_81.c	oracle	0	0.04	0.04	48680	MATCH
sa_csmith_81.c	lean	0	0.06	0.05	82348	MATCH
sa_csmith_82.c	oracle	0	0.15	0.15	55092	MATCH
sa_csmith_82.c	lean	0	0.36	0.35	84348	MATCH
sa_csmith_83.c	oracle	0	0.04	0.03	49276	MATCH
sa_csmith_83.c	lean	0	0.07	0.06	81716	MATCH
sa_csmith_84.c	oracle	0	0.04	0.04	48856	MATCH
sa_csmith_84.c	lean	0	0.06	0.06	82728	MATCH
sa_csmith_85.c	oracle	124	15.02	15.02	340236	CERB_SKIP
sa_csmith_85.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_86.c	oracle	124	15.05	15.04	641532	CERB_SKIP
sa_csmith_86.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_87.c	oracle	0	0.04	0.04	49184	MATCH
sa_csmith_87.c	lean	0	0.07	0.06	81908	MATCH
sa_csmith_88.c	oracle	124	15.04	15.04	603532	CERB_SKIP
sa_csmith_88.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_89.c	oracle	0	0.20	0.19	56916	MATCH
sa_csmith_89.c	lean	0	0.49	0.48	86916	MATCH
sa_csmith_9.c	oracle	124	15.04	15.04	606228	CERB_SKIP
sa_csmith_9.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_90.c	oracle	0	0.09	0.09	65640	MATCH
sa_csmith_90.c	lean	0	0.20	0.19	105572	MATCH
sa_csmith_91.c	oracle	0	0.05	0.04	48360	MATCH
sa_csmith_91.c	lean	0	0.07	0.06	81764	MATCH
sa_csmith_92.c	oracle	0	0.22	0.22	67940	MATCH
sa_csmith_92.c	lean	0	0.56	0.55	99676	MATCH
sa_csmith_93.c	oracle	124	15.04	15.03	564640	CERB_SKIP
sa_csmith_93.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_94.c	oracle	124	15.03	15.03	514044	CERB_SKIP
sa_csmith_94.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_95.c	oracle	0	0.10	0.09	69036	MATCH
sa_csmith_95.c	lean	0	0.21	0.20	110200	MATCH
sa_csmith_96.c	oracle	0	0.04	0.04	49492	MATCH
sa_csmith_96.c	lean	0	0.07	0.06	82540	MATCH
sa_csmith_97.c	oracle	124	15.05	15.04	649540	CERB_SKIP
sa_csmith_97.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_98.c	oracle	124	15.05	15.04	631588	CERB_SKIP
sa_csmith_98.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_99.c	oracle	124	15.04	15.03	593796	CERB_SKIP
sa_csmith_99.c	lean	NA	NA	NA	NA	CERB_SKIP
sia_csmith_001.c	oracle	124	15.04	15.03	510392	CERB_SKIP
sia_csmith_001.c	lean	NA	NA	NA	NA	CERB_SKIP
sia_csmith_002.c	oracle	0	0.05	0.04	49820	MATCH
sia_csmith_002.c	lean	0	0.07	0.07	84352	MATCH
sia_csmith_003.c	oracle	0	0.04	0.03	48172	MATCH
sia_csmith_003.c	lean	0	0.06	0.06	82528	MATCH
sia_csmith_004.c	oracle	0	0.04	0.03	48824	MATCH
sia_csmith_004.c	lean	0	0.07	0.06	81308	MATCH
sia_csmith_005.c	oracle	0	0.04	0.04	48700	MATCH
sia_csmith_005.c	lean	0	0.06	0.05	82256	MATCH
sia_csmith_006.c	oracle	0	0.20	0.19	56812	MATCH
sia_csmith_006.c	lean	0	0.51	0.50	85980	MATCH
sia_csmith_007.c	oracle	0	0.04	0.04	49156	MATCH
sia_csmith_007.c	lean	0	0.07	0.06	81528	MATCH
sia_csmith_008.c	oracle	0	0.05	0.05	50812	MATCH
sia_csmith_008.c	lean	0	0.08	0.08	84996	MATCH
sia_csmith_009.c	oracle	0	0.05	0.04	49112	MATCH
sia_csmith_009.c	lean	0	0.08	0.07	81512	MATCH
sia_csmith_010.c	oracle	0	0.05	0.04	48304	MATCH
sia_csmith_010.c	lean	0	0.07	0.06	81604	MATCH
