input	engine	exit	wall_s	cpu_s	maxrss_kb	status
sa_csmith_25.c	oracle	0	0.47	0.47	82288	MATCH
sa_csmith_25.c	lean	0	1.21	1.21	115220	MATCH
sa_csmith_250.c	oracle	0	0.04	0.03	49160	MATCH
sa_csmith_250.c	lean	0	0.06	0.06	83760	MATCH
sa_csmith_251.c	oracle	124	15.04	15.04	636228	CERB_SKIP
sa_csmith_251.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_252.c	oracle	124	15.04	15.03	615448	CERB_SKIP
sa_csmith_252.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_253.c	oracle	124	15.05	15.03	667752	CERB_SKIP
sa_csmith_253.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_254.c	oracle	0	0.04	0.03	49188	MATCH
sa_csmith_254.c	lean	0	0.06	0.06	83548	MATCH
sa_csmith_255.c	oracle	124	15.05	15.04	679832	CERB_SKIP
sa_csmith_255.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_256.c	oracle	124	15.05	15.04	698460	CERB_SKIP
sa_csmith_256.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_257.c	oracle	124	15.04	15.03	564748	CERB_SKIP
sa_csmith_257.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_258.c	oracle	124	15.05	15.04	666080	CERB_SKIP
sa_csmith_258.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_259.c	oracle	124	15.04	15.03	602804	CERB_SKIP
sa_csmith_259.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_26.c	oracle	124	15.04	15.03	568260	CERB_SKIP
sa_csmith_26.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_260.c	oracle	124	15.05	15.04	669740	CERB_SKIP
sa_csmith_260.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_261.c	oracle	0	0.04	0.04	50064	MATCH
sa_csmith_261.c	lean	0	0.06	0.06	84172	MATCH
sa_csmith_262.c	oracle	0	0.10	0.10	67816	MATCH
sa_csmith_262.c	lean	0	0.23	0.23	108732	MATCH
sa_csmith_263.c	oracle	0	0.04	0.04	49564	MATCH
sa_csmith_263.c	lean	0	0.07	0.06	83724	MATCH
sa_csmith_264.c	oracle	124	15.04	15.03	617708	CERB_SKIP
sa_csmith_264.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_265.c	oracle	124	15.04	15.03	646104	CERB_SKIP
sa_csmith_265.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_266.c	oracle	0	0.04	0.04	50768	MATCH
sa_csmith_266.c	lean	0	0.07	0.07	83300	MATCH
sa_csmith_267.c	oracle	124	15.04	15.03	540348	CERB_SKIP
sa_csmith_267.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_268.c	oracle	0	0.06	0.06	58084	MATCH
sa_csmith_268.c	lean	0	0.14	0.13	96460	MATCH
sa_csmith_269.c	oracle	124	15.02	15.01	280280	CERB_SKIP
sa_csmith_269.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_27.c	oracle	124	15.05	15.04	677424	CERB_SKIP
sa_csmith_27.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_270.c	oracle	0	0.04	0.04	50640	MATCH
sa_csmith_270.c	lean	0	0.08	0.07	85716	MATCH
sa_csmith_271.c	oracle	0	0.08	0.08	64600	MATCH
sa_csmith_271.c	lean	0	0.17	0.16	106452	MATCH
sa_csmith_272.c	oracle	0	1.85	1.84	120908	MATCH
sa_csmith_272.c	lean	0	5.28	5.28	133488	MATCH
sa_csmith_273.c	oracle	0	0.04	0.03	49372	MATCH
sa_csmith_273.c	lean	0	0.06	0.05	83520	MATCH
sa_csmith_274.c	oracle	0	0.04	0.03	49232	MATCH
sa_csmith_274.c	lean	0	0.06	0.05	84504	MATCH
sa_csmith_275.c	oracle	124	15.05	15.05	678508	CERB_SKIP
sa_csmith_275.c	lean	NA	NA	NA	NA	CERB_SKIP
sa_csmith_276.c	oracle	124	15.04	15.04	659200	CERB_SKIP
sa_csmith_276.c	lean	NA	NA	NA	NA	CERB_SKIP
